"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the fastapi charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the micration script.
    assert: the fastapi application should return a correct response.
    ","253","test_migration","tests.integration.fastapi","2026-07-18","passed","2026-07-18","","test_fastapi","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","194","test_flask_config[debug]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","40469","test_non_root_db_migration[Go non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_db_migration","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","178817","test_oauth_integrations[expressjs_app-login]","tests.integration.integrations","2026-07-18","broken","2026-07-18","","test_oauth","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","53642","test_openfga_integrations[go_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_openfga","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","322738","test_oauth_integrations[flask_app-login]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_oauth","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[go_app-login/openid-connect]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","188","test_app_config[builtin]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: deploy Flask and Tempo, and relate tracing.
    act: send requests to Flask root endpoint.
    assert: gunicorn access logs include traceId and spanId.
    ","22475","test_flask_access_logs_have_trace_correlation","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_tracing","",""
"
    arrange: Flask and redis deployed and integrated.
    act: Scale the app to the desired number of units.
    assert: There should be only one scheduler and as many workers as units. That will
            be checked because the scheduler is constantly sending tasks with its hostname
            to the workers, and the workers will put its own hostname and the schedulers
            hostname in Redis sets. Those sets are checked through the Flask app,
            that queries Redis.
    ","37493","test_workers_and_scheduler_services[3]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_workers","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","70562","test_smtp_integrations[spring_boot_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_smtp","",""
"
    arrange: build and deploy the Springboot charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the migration script.
        Then try to add same user twice.
    assert: the Springboot application should add the user only once.
    ","925","test_migration","tests.integration.springboot","2026-07-18","passed","2026-07-18","","test_charm","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","53221","test_openfga_integrations[django_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_openfga","",""
"
    arrange: Integrate the Charm with saml-integrator, with a real SP.
    act: Call the endpoint to get env variables.
    assert: Valid Saml env variables should be in the workload.
    ","62434","test_saml_integration[flask_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_saml","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","60075","test_smtp_integrations[flask_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_smtp","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","200655","test_flask_webserver_timeout[timeout=7]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_charm","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","153265","test_loki_integration[go_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_loki","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","197","test_invalid_flask_config[preferred_url_scheme]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","159629","test_loki_integration[fastapi_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_loki","",""
"
    arrange: build and deploy the flask charm, and deploy the ingress.
    act: relate the ingress charm with the Flask charm.
    assert: requesting the charm through traefik should return a correct response,
         and the BASE_URL config should be correctly set (FLASK_BASE_URL env variable).
    ","21905","test_with_ingress","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_charm","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","37916","test_smtp_integrations[go_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_smtp","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","205862","test_loki_integration[django_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_loki","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","38213","test_non_optional[go]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_config","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","97569","test_prometheus_integration[django_app-9102-/metrics]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_prometheus","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","136945","test_workload_tracing[django_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_tracing","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","366877","test_workload_tracing[flask_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_tracing","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","133426","test_non_root_loki_integration[Django non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_loki","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","222","test_flask_config[permanent_session_lifetime]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","180416","test_loki_integration[spring_boot_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_loki","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","34119","test_non_optional[flask]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_config","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","90473","test_workload_tracing[spring_boot_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_tracing","",""
"
    arrange: build and deploy the flask charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","3314","test_db_migration","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_db_migration","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","211","test_app_config[bool]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
